year,month,day,oxy_deep
1981,12,11,7.035904214
1981,12,12,7.017370867
1981,12,13,6.99883752
1981,12,14,6.980304173
1981,12,15,6.961770825
1981,12,16,6.943237478
1981,12,17,6.924704131
1981,12,18,6.906170783
1981,12,19,6.887637436
1981,12,20,6.869104089
1981,12,21,6.850570742
1981,12,22,6.832037394
1981,12,23,6.813504047
1981,12,24,6.7949707
1981,12,25,6.776437353
1981,12,26,6.757904005
1981,12,27,6.739370658
1981,12,28,6.77946607
1981,12,29,6.819561482
1981,12,30,6.859656895
1981,12,31,6.899752307
1982,1,1,6.939847719
1982,1,2,6.979943131
1982,1,3,7.020038544
1982,1,4,7.060133956
1982,1,5,7.100229368
1982,1,6,7.14032478
1982,1,7,7.180420192
1982,1,8,7.220515605
1982,1,9,7.260611017
1982,1,10,7.300706429
1982,1,11,7.322336728
1982,1,12,7.343967027
1982,1,13,7.365597327
1982,1,14,7.387227626
1982,1,15,7.408857925
1982,1,16,7.430488224
1982,1,17,7.452118523
1982,1,18,7.473748822
1982,1,19,7.495379121
1982,1,20,7.517009421
1982,1,21,7.53863972
1982,1,22,7.560270019
1982,1,23,7.581900318
1982,1,24,7.603530617
1982,1,25,7.608855636
1982,1,26,7.614180654
1982,1,27,7.619505673
1982,1,28,7.624830691
1982,1,29,7.63015571
1982,1,30,7.635480728
1982,1,31,7.640805747
1982,2,1,7.646130765
1982,2,2,7.651455784
1982,2,3,7.656780803
1982,2,4,7.662105821
1982,2,5,7.66743084
1982,2,6,7.672755858
1982,2,7,7.678080877
1982,2,8,7.661223361
1982,2,9,7.644365845
1982,2,10,7.627508329
1982,2,11,7.610650813
1982,2,12,7.593793296
1982,2,13,7.57693578
1982,2,14,7.560078264
1982,2,15,7.543220748
1982,2,16,7.526363232
1982,2,17,7.509505716
1982,2,18,7.4926482
1982,2,19,7.475790684
1982,2,20,7.458933168
1982,2,21,7.442075652
1982,2,22,7.425218136
1982,2,23,7.40836062
1982,2,24,7.391503104
1982,2,25,7.374645588
1982,2,26,7.357788072
1982,2,27,7.340930556
1982,2,28,7.32407304
1982,3,1,7.307215524
1982,3,2,7.299082876
1982,3,3,7.290950228
1982,3,4,7.28281758
1982,3,5,7.274684932
1982,3,6,7.266552284
1982,3,7,7.258419636
1982,3,8,7.250286988
1982,3,9,7.24215434
1982,3,10,7.234021692
1982,3,11,7.225889044
1982,3,12,7.217756397
1982,3,13,7.209623749
1982,3,14,7.201491101
1982,3,15,7.207156526
1982,3,16,7.212821952
1982,3,17,7.218487377
1982,3,18,7.224152803
1982,3,19,7.229818228
1982,3,20,7.235483654
1982,3,21,7.241149079
1982,3,22,7.246814504
1982,3,23,7.25247993
1982,3,24,7.258145355
1982,3,25,7.263810781
1982,3,26,7.269476206
1982,3,27,7.275141632
1982,3,28,7.280807057
1982,3,29,7.286472483
1982,3,30,7.292137908
1982,3,31,7.297803334
1982,4,1,7.303468759
1982,4,2,7.309134185
1982,4,3,7.31479961
1982,4,4,7.320465036
1982,4,5,7.326130461
1982,4,6,7.295814965
1982,4,7,7.26549947
1982,4,8,7.235183974
1982,4,9,7.204868479
1982,4,10,7.174552983
1982,4,11,7.144237488
1982,4,12,7.113921992
1982,4,13,7.083606497
1982,4,14,7.053291001
1982,4,15,7.022975505
1982,4,16,6.99266001
1982,4,17,6.962344514
1982,4,18,6.932029019
1982,4,19,6.944901111
1982,4,20,6.957773204
1982,4,21,6.970645297
1982,4,22,6.98351739
1982,4,23,6.996389482
1982,4,24,7.009261575
1982,4,25,7.022133668
1982,4,26,7.035005761
1982,4,27,7.047877853
1982,4,28,7.060749946
1982,4,29,7.073622039
1982,4,30,7.086494132
1982,5,1,7.099366224
1982,5,2,7.112238317
1982,5,3,7.045128415
1982,5,4,6.978018513
1982,5,5,6.910908611
1982,5,6,6.84379871
1982,5,7,6.776688808
1982,5,8,6.709578906
1982,5,9,6.642469004
1982,5,10,6.575359102
1982,5,11,6.5082492
1982,5,12,6.441139298
1982,5,13,6.374029396
1982,5,14,6.306919495
1982,5,15,6.239809593
1982,5,16,6.172699691
1982,5,17,6.17373537
1982,5,18,6.174771049
1982,5,19,6.175806728
1982,5,20,6.176842408
1982,5,21,6.177878087
1982,5,22,6.178913766
1982,5,23,6.179949445
1982,5,24,6.180985124
1982,5,25,6.182020804
1982,5,26,6.183056483
1982,5,27,6.184092162
1982,5,28,6.185127841
1982,5,29,6.18616352
1982,5,30,6.1871992
1982,5,31,6.188234879
1982,6,1,6.216066819
1982,6,2,6.243898758
1982,6,3,6.271730698
1982,6,4,6.299562638
1982,6,5,6.327394577
1982,6,6,6.355226517
1982,6,7,6.383058457
1982,6,8,6.410890397
1982,6,9,6.438722336
1982,6,10,6.466554276
1982,6,11,6.494386216
1982,6,12,6.522218156
1982,6,13,6.550050095
1982,6,14,6.521230709
1982,6,15,6.492411323
1982,6,16,6.463591937
1982,6,17,6.434772551
1982,6,18,6.405953165
1982,6,19,6.377133779
1982,6,20,6.348314393
1982,6,21,6.319495007
1982,6,22,6.290675621
1982,6,23,6.261856235
1982,6,24,6.233036849
1982,6,25,6.204217463
1982,6,26,6.175398077
1982,6,27,6.146578691
1982,6,28,6.122796136
1982,6,29,6.099013581
1982,6,30,6.075231025
1982,7,1,6.05144847
1982,7,2,6.027665914
1982,7,3,6.003883359
1982,7,4,5.980100804
1982,7,5,5.956318248
1982,7,6,5.932535693
1982,7,7,5.908753138
1982,7,8,5.884970582
1982,7,9,5.861188027
1982,7,10,5.837405472
1982,7,11,5.813622916
1982,7,12,5.789840361
1982,7,13,5.766057806
1982,7,14,5.74227525
1982,7,15,5.718492695
1982,7,16,5.69471014
1982,7,17,5.670927584
1982,7,18,5.647145029
1982,7,19,5.623362474
1982,7,20,5.613515793
1982,7,21,5.603669113
1982,7,22,5.593822433
1982,7,23,5.583975753
1982,7,24,5.574129073
1982,7,25,5.564282393
1982,7,26,5.554435712
1982,7,27,5.544589032
1982,7,28,5.534742352
1982,7,29,5.524895672
1982,7,30,5.515048992
1982,7,31,5.505202312
1982,8,1,5.495355631
1982,8,2,5.485508951
1982,8,3,5.494644481
1982,8,4,5.50378001
1982,8,5,5.51291554
1982,8,6,5.522051069
1982,8,7,5.531186599
1982,8,8,5.540322129
1982,8,9,5.549457658
1982,8,10,5.558593188
1982,8,11,5.567728717
1982,8,12,5.576864247
1982,8,13,5.585999776
1982,8,14,5.595135306
1982,8,15,5.604270835
1982,8,16,5.585228997
1982,8,17,5.566187158
1982,8,18,5.547145319
1982,8,19,5.52810348
1982,8,20,5.509061641
1982,8,21,5.490019803
1982,8,22,5.470977964
1982,8,23,5.451936125
1982,8,24,5.432894286
1982,8,25,5.413852447
1982,8,26,5.394810609
1982,8,27,5.37576877
1982,8,28,5.356726931
1982,8,29,5.337685092
1982,8,30,5.363381176
1982,8,31,5.389077259
1982,9,1,5.414773343
1982,9,2,5.440469426
1982,9,3,5.466165509
1982,9,4,5.491861593
1982,9,5,5.517557676
1982,9,6,5.54325376
1982,9,7,5.568949843
1982,9,8,5.594645926
1982,9,9,5.62034201
1982,9,10,5.646038093
1982,9,11,5.671734177
1982,9,12,5.69743026
1982,9,13,5.723126343
1982,9,14,5.726737533
1982,9,15,5.730348722
1982,9,16,5.733959912
1982,9,17,5.737571101
1982,9,18,5.74118229
1982,9,19,5.74479348
1982,9,20,5.748404669
