year,month,day,oxy_deep
1982,4,11,10.71348683
1982,4,12,10.70589263
1982,4,13,10.69829973
1982,4,14,10.69070813
1982,4,15,10.68311784
1982,4,16,10.67552886
1982,4,17,10.66794117
1982,4,18,10.66035479
1982,4,19,10.6527697
1982,4,20,10.64518591
1982,4,21,10.63760341
1982,4,22,10.63002221
1982,4,23,10.6224423
1982,4,24,10.61486369
1982,4,25,10.60728636
1982,4,26,10.59971032
1982,4,27,10.59213556
1982,4,28,10.5845621
1982,4,29,10.57698991
1982,4,30,10.56941901
1982,5,1,10.56184938
1982,5,2,10.55428104
1982,5,3,10.54671397
1982,5,4,10.53914818
1982,5,5,10.53158367
1982,5,6,10.52402042
1982,5,7,10.51645845
1982,5,8,10.50889775
1982,5,9,10.50133832
1982,5,10,10.49378015
1982,5,11,10.48622326
1982,5,12,10.47866762
1982,5,13,10.47111325
1982,5,14,10.46356014
1982,5,15,10.45600829
1982,5,16,10.4484577
1982,5,17,10.44090836
1982,5,18,10.43336028
1982,5,19,10.42581346
1982,5,20,10.41826788
1982,5,21,10.41072356
1982,5,22,10.40318049
1982,5,23,10.39563867
1982,5,24,10.38809809
1982,5,25,10.38055876
1982,5,26,10.37302068
1982,5,27,10.36548383
1982,5,28,10.35794823
1982,5,29,10.35041387
1982,5,30,10.34288074
1982,5,31,10.33534885
1982,6,1,10.3278182
1982,6,2,10.32028878
1982,6,3,10.3127606
1982,6,4,10.30523364
1982,6,5,10.29770792
1982,6,6,10.29018342
1982,6,7,10.28266015
1982,6,8,10.27513811
1982,6,9,10.26761729
1982,6,10,10.26009769
1982,6,11,10.25257932
1982,6,12,10.24506216
1982,6,13,10.23754623
1982,6,14,10.23003151
1982,6,15,10.222518
1982,6,16,10.21500571
1982,6,17,10.20749463
1982,6,18,10.19998477
1982,6,19,10.19247611
1982,6,20,10.18496867
1982,6,21,10.17746243
1982,6,22,10.16995739
1982,6,23,10.16245356
1982,6,24,10.15495094
1982,6,25,10.14744951
1982,6,26,10.13994929
1982,6,27,10.13245026
1982,6,28,10.12495243
1982,6,29,10.1174558
1982,6,30,10.10996037
1982,7,1,10.10246612
1982,7,2,10.09497307
1982,7,3,10.08748121
1982,7,4,10.07999054
1982,7,5,10.07250105
1982,7,6,10.06501276
1982,7,7,10.05752565
1982,7,8,10.05003972
1982,7,9,10.04255497
1982,7,10,10.03507141
1982,7,11,10.02758902
1982,7,12,10.02010782
1982,7,13,10.01262779
1982,7,14,10.00514893
1982,7,15,9.997671253
1982,7,16,9.990194747
1982,7,17,9.982719412
1982,7,18,9.975245247
1982,7,19,9.967772251
1982,7,20,9.960300422
1982,7,21,9.95282976
1982,7,22,9.945360263
1982,7,23,9.937891929
1982,7,24,9.930424757
1982,7,25,9.922958746
1982,7,26,9.915493894
1982,7,27,9.908030201
1982,7,28,9.900567664
1982,7,29,9.893106283
1982,7,30,9.885646056
1982,7,31,9.878186982
1982,8,1,9.870729059
1982,8,2,9.863272286
1982,8,3,9.855816663
1982,8,4,9.848362186
1982,8,5,9.840908856
1982,8,6,9.83345667
1982,8,7,9.826005628
1982,8,8,9.818555729
1982,8,9,9.81110697
1982,8,10,9.803659351
1982,8,11,9.796212869
1982,8,12,9.788767525
1982,8,13,9.781323317
1982,8,14,9.773880242
1982,8,15,9.766438301
1982,8,16,9.758997492
1982,8,17,9.751557813
1982,8,18,9.744119262
1982,8,19,9.73668184
1982,8,20,9.729245544
1982,8,21,9.721810374
1982,8,22,9.714376327
1982,8,23,9.706943402
1982,8,24,9.6995116
1982,8,25,9.692080917
1982,8,26,9.684651352
1982,8,27,9.677222905
1982,8,28,9.669795575
1982,8,29,9.662369359
1982,8,30,9.654944256
1982,8,31,9.647520266
1982,9,1,9.640097387
1982,9,2,9.632675618
1982,9,3,9.625254957
1982,9,4,9.617835403
1982,9,5,9.610416955
1982,9,6,9.602999611
1982,9,7,9.595583371
1982,9,8,9.588168233
1982,9,9,9.580754195
1982,9,10,9.573341257
1982,9,11,9.565929418
1982,9,12,9.558518675
1982,9,13,9.551109028
1982,9,14,9.543700475
1982,9,15,9.536293016
1982,9,16,9.528886648
1982,9,17,9.521481371
1982,9,18,9.514077184
1982,9,19,9.506674084
1982,9,20,9.499272072
1982,9,21,9.491871145
1982,9,22,9.484471302
1982,9,23,9.477072543
1982,9,24,9.469674865
1982,9,25,9.462278268
1982,9,26,9.45488275
1982,9,27,9.447488311
1982,9,28,9.440094948
1982,9,29,9.432702661
1982,9,30,9.425311449
1982,10,1,9.417921309
1982,10,2,9.410532242
1982,10,3,9.403144245
1982,10,4,9.395757317
1982,10,5,9.388371458
1982,10,6,9.380986666
1982,10,7,9.373602939
1982,10,8,9.366220277
1982,10,9,9.358838678
1982,10,10,9.351458142
1982,10,11,9.344078666
1982,10,12,9.33670025
1982,10,13,9.329322892
1982,10,14,9.321946591
1982,10,15,9.314571346
1982,10,16,9.307197156
1982,10,17,9.29982402
1982,10,18,9.292451936
1982,10,19,9.285080902
1982,10,20,9.277710919
1982,10,21,9.270341984
1982,10,22,9.262974097
1982,10,23,9.255607256
1982,10,24,9.24824146
1982,10,25,9.240876708
1982,10,26,9.233512999
1982,10,27,9.226150331
1982,10,28,9.218788703
1982,10,29,9.211428114
1982,10,30,9.204068563
1982,10,31,9.196710049
1982,11,1,9.18935257
1982,11,2,9.181996125
1982,11,3,9.174640713
1982,11,4,9.167286333
1982,11,5,9.159932984
1982,11,6,9.152580664
1982,11,7,9.145229373
1982,11,8,9.137879108
1982,11,9,9.13052987
1982,11,10,9.123181656
1982,11,11,9.115834466
1982,11,12,9.108488298
1982,11,13,9.101143151
1982,11,14,9.093799024
1982,11,15,9.086455916
1982,11,16,9.079113826
1982,11,17,9.071772752
1982,11,18,9.064432694
1982,11,19,9.057093649
1982,11,20,9.049755618
1982,11,21,9.042418598
1982,11,22,9.035082589
1982,11,23,9.02774759
1982,11,24,9.020413598
1982,11,25,9.013080614
1982,11,26,9.005748636
1982,11,27,8.998417663
1982,11,28,8.991087693
1982,11,29,8.983758726
1982,11,30,8.97643076
1982,12,1,8.969103794
1982,12,2,8.961781316
1982,12,3,8.954463361
1982,12,4,8.947149922
1982,12,5,8.939840995
1982,12,6,8.932536575
1982,12,7,8.925236656
1982,12,8,8.917979566
1982,12,9,8.910726883
1982,12,10,8.903497568
1982,12,11,8.89627263
1982,12,12,8.88905214
1982,12,13,8.881857242
1982,12,14,8.874666718
1982,12,15,8.867480604
1982,12,16,8.860298895
1982,12,17,8.853164819
1982,12,18,8.846035008
1982,12,19,8.838909537
1982,12,20,8.831788441
1982,12,21,8.824692774
1982,12,22,8.817601407
1982,12,23,8.810514375
1982,12,24,8.803431673
1982,12,25,8.796353338
1982,12,26,8.789279365
1982,12,27,8.782209748
1982,12,28,8.775144482
1982,12,29,8.768083563
1982,12,30,8.761027027
1982,12,31,8.753974912
1983,1,1,8.746927212
1983,1,2,8.739883966
1983,1,3,8.732845169
1983,1,4,8.725810815
1983,1,5,8.718806155
1983,1,6,8.711805856
1983,1,7,8.704809912
1983,1,8,8.697818319
1983,1,9,8.690831114
1983,1,10,8.683848337
1983,1,11,8.676870028
1983,1,12,8.669896181
1983,1,13,8.662926837
1983,1,14,8.655961991
1983,1,15,8.649001637
1983,1,16,8.642074201
1983,1,17,8.63517947
1983,1,18,8.628289105
1983,1,19,8.621403099
1983,1,20,8.614521494
1983,1,21,8.607644379
1983,1,22,8.600771797
1983,1,23,8.593903791
1983,1,24,8.587040407
1983,1,25,8.580181639
1983,1,26,8.573327534
1983,1,27,8.56650356
1983,1,28,8.559684156
1983,1,29,8.553208739
1983,1,30,8.546736826
1983,1,31,8.540268415
1983,2,1,8.533803965
1983,2,2,8.527343615
1983,2,3,8.520887409
1983,2,4,8.514435393
1983,2,5,8.507987669
1983,2,6,8.501544229
1983,2,7,8.495105179
1983,2,8,8.48867055
1983,2,9,8.482240352
1983,2,10,8.47581458
1983,2,11,8.469393246
1983,2,12,8.462976379
1983,2,13,8.456563991
1983,2,14,8.450156095
1983,2,15,8.443752723
1983,2,16,8.437353889
1983,2,17,8.430959609
1983,2,18,8.424569916
1983,2,19,8.418184849
1983,2,20,8.411804471
1983,2,21,8.405428851
1983,2,22,8.399058063
1983,2,23,8.392692138
1983,2,24,8.386331033
1983,2,25,8.379974688
1983,2,26,8.373623034
1983,2,27,8.367275975
1983,2,28,8.360933416
1983,3,1,8.35459525
1983,3,2,8.348261395
1983,3,3,8.341929465
1983,3,4,8.335599305
1983,3,5,8.329270773
1983,3,6,8.322943624
1983,3,7,8.316617621
1983,3,8,8.310292455
1983,3,9,8.303967835
1983,3,10,8.298772415
1983,3,11,8.293575535
1983,3,12,8.288377195
1983,3,13,8.283177398
1983,3,14,8.277976146
1983,3,15,8.272773439
1983,3,16,8.267569281
1983,3,17,8.262363672
1983,3,18,8.257156615
1983,3,19,8.25194811
1983,3,20,8.246738159
1983,3,21,8.241526765
1983,3,22,8.236313929
1983,3,23,8.231099652
1983,3,24,8.225883937
1983,3,25,8.220666784
1983,3,26,8.215448196
1983,3,27,8.210228174
1983,3,28,8.20500672
1983,3,29,8.199783835
1983,3,30,8.194559521
1983,3,31,8.189333781
1983,4,1,8.184106614
1983,4,2,8.178878024
1983,4,3,8.173648011
1983,4,4,8.168416578
1983,4,5,8.163183725
1983,4,6,8.157949456
1983,4,7,8.15271377
1983,4,8,8.147476671
1983,4,9,8.142238159
1983,4,10,8.136998236
1983,4,11,8.131756904
1983,4,12,8.126514164
1983,4,13,8.121270018
1983,4,14,8.116024468
1983,4,15,8.110777515
1983,4,16,8.105529161
1983,4,17,8.100279408
1983,4,18,8.095028257
1983,4,19,8.089775709
1983,4,20,8.084521767
1983,4,21,8.079266432
1983,4,22,8.074009705
1983,4,23,8.068751589
1983,4,24,8.063492084
1983,4,25,8.058231193
1983,4,26,8.052968916
1983,4,27,8.047705257
1983,4,28,8.042440215
1983,4,29,8.037173793
1983,4,30,8.031905993
1983,5,1,8.026636815
1983,5,2,8.021366262
1983,5,3,8.016094335
1983,5,4,8.010821036
1983,5,5,8.005546366
1983,5,6,8.000270327
1983,5,7,7.994992921
1983,5,8,7.989714148
1983,5,9,7.984434011
1983,5,10,7.979152511
1983,5,11,7.97386965
1983,5,12,7.96858543
1983,5,13,7.963299851
1983,5,14,7.958012916
1983,5,15,7.952724625
1983,5,16,7.947434982
1983,5,17,7.942143986
1983,5,18,7.93685164
1983,5,19,7.931557946
1983,5,20,7.926262904
1983,5,21,7.920966517
1983,5,22,7.915668785
1983,5,23,7.910369711
1983,5,24,7.905069297
1983,5,25,7.899767542
1983,5,26,7.89446445
1983,5,27,7.889160021
1983,5,28,7.883854258
1983,5,29,7.878547162
1983,5,30,7.873238733
1983,5,31,7.867928975
1983,6,1,7.862617888
1983,6,2,7.857305474
1983,6,3,7.851991734
1983,6,4,7.84667667
1983,6,5,7.841360284
1983,6,6,7.836042577
1983,6,7,7.83072355
1983,6,8,7.825403205
1983,6,9,7.820081544
1983,6,10,7.814758568
1983,6,11,7.809434278
1983,6,12,7.804108677
1983,6,13,7.798781766
1983,6,14,7.793453545
1983,6,15,7.788124017
1983,6,16,7.782793184
1983,6,17,7.777461046
1983,6,18,7.772127605
1983,6,19,7.766792863
1983,6,20,7.761456821
1983,6,21,7.756119481
1983,6,22,7.750780844
1983,6,23,7.745440911
1983,6,24,7.740099685
1983,6,25,7.734757167
1983,6,26,7.729413357
1983,6,27,7.724068259
1983,6,28,7.718721872
1983,6,29,7.713374199
1983,6,30,7.708025241
1983,7,1,7.702675
1983,7,2,7.697323477
1983,7,3,7.691970674
1983,7,4,7.686616591
1983,7,5,7.681261231
1983,7,6,7.675904595
1983,7,7,7.670546684
1983,7,8,7.665187501
1983,7,9,7.659827045
1983,7,10,7.65446532
1983,7,11,7.649102326
1983,7,12,7.643738065
1983,7,13,7.638372538
1983,7,14,7.633005746
1983,7,15,7.627637692
1983,7,16,7.622268377
1983,7,17,7.616897801
1983,7,18,7.611525967
1983,7,19,7.606152876
1983,7,20,7.60077853
1983,7,21,7.595402929
1983,7,22,7.590026076
1983,7,23,7.584647972
1983,7,24,7.579268617
1983,7,25,7.573888015
1983,7,26,7.568506165
1983,7,27,7.56312307
1983,7,28,7.557738732
1983,7,29,7.55235315
1983,7,30,7.546966327
1983,7,31,7.541578265
1983,8,1,7.536188964
1983,8,2,7.530798427
1983,8,3,7.525406654
1983,8,4,7.520013647
1983,8,5,7.514619408
1983,8,6,7.509223937
1983,8,7,7.503827237
1983,8,8,7.498429308
1983,8,9,7.493030152
1983,8,10,7.487629771
1983,8,11,7.482228166
1983,8,12,7.476825338
1983,8,13,7.471421289
1983,8,14,7.46601602
1983,8,15,7.460609533
1983,8,16,7.455201829
1983,8,17,7.449792909
1983,8,18,7.444382775
1983,8,19,7.438971428
1983,8,20,7.433558869
1983,8,21,7.428145101
1983,8,22,7.422730124
1983,8,23,7.417313939
1983,8,24,7.411896549
1983,8,25,7.406477955
1983,8,26,7.401058157
1983,8,27,7.395637158
1983,8,28,7.390214958
1983,8,29,7.38479156
1983,8,30,7.379366964
1983,8,31,7.373941172
1983,9,1,7.368514185
1983,9,2,7.363086005
1983,9,3,7.357656633
1983,9,4,7.35222607
1983,9,5,7.346794318
1983,9,6,7.341361378
1983,9,7,7.335927252
1983,9,8,7.33049194
1983,9,9,7.325055445
1983,9,10,7.319617767
1983,9,11,7.314178909
1983,9,12,7.30873887
1983,9,13,7.303297654
1983,9,14,7.29785526
1983,9,15,7.292411691
1983,9,16,7.286966947
1983,9,17,7.281521031
1983,9,18,7.276073943
1983,9,19,7.270625685
1983,9,20,7.265176258
1983,9,21,7.259725664
1983,9,22,7.254273903
1983,9,23,7.248820978
1983,9,24,7.24336689
1983,9,25,7.237911639
1983,9,26,7.232455227
1983,9,27,7.226997656
1983,9,28,7.221538927
1983,9,29,7.216079042
1983,9,30,7.210618
1983,10,1,7.205155805
1983,10,2,7.199692457
1983,10,3,7.194227958
1983,10,4,7.188762308
1983,10,5,7.18329551
1983,10,6,7.177827564
1983,10,7,7.172358473
1983,10,8,7.166888236
1983,10,9,7.161416856
1983,10,10,7.155944334
1983,10,11,7.150470671
1983,10,12,7.144995868
1983,10,13,7.139519928
1983,10,14,7.13404285
1983,10,15,7.128564637
1983,10,16,7.12308529
1983,10,17,7.117604809
1983,10,18,7.112123197
1983,10,19,7.106640455
1983,10,20,7.101156584
1983,10,21,7.095671585
1983,10,22,7.090185459
1983,10,23,7.084698209
1983,10,24,7.079209834
1983,10,25,7.073720337
1983,10,26,7.068229719
1983,10,27,7.062737981
1983,10,28,7.057245124
1983,10,29,7.05175115
1983,10,30,7.046256059
1983,10,31,7.040759854
1983,11,1,7.035262536
1983,11,2,7.029764105
1983,11,3,7.024264564
1983,11,4,7.018763912
1983,11,5,7.013262152
1983,11,6,7.007759286
1983,11,7,7.002255313
1983,11,8,6.996750236
1983,11,9,6.991244056
1983,11,10,6.985736773
1983,11,11,6.98022839
1983,11,12,6.974718908
1983,11,13,6.969208327
1983,11,14,6.963696649
1983,11,15,6.958183876
1983,11,16,6.952670008
1983,11,17,6.947155048
1983,11,18,6.941638995
1983,11,19,6.936121852
1983,11,20,6.930603619
1983,11,21,6.925084299
1983,11,22,6.919563891
1983,11,23,6.914042398
1983,11,24,6.908519821
1983,11,25,6.902996161
1983,11,26,6.897471418
1983,11,27,6.891945596
1983,11,28,6.886418694
1983,11,29,6.880890713
1983,11,30,6.875361656
1983,12,1,6.869831524
1983,12,2,6.864303806
1983,12,3,6.858778538
1983,12,4,6.853255793
1983,12,5,6.847735609
1983,12,6,6.842217982
1983,12,7,6.836702951
1983,12,8,6.83119051
1983,12,9,6.825680659
1983,12,10,6.820204721
