"date","oxydeep","T_surf","T_bot","T_delta","h_mix","Ptot_lake","Ptot_epi","PO4_lake","PO4_epi","chl","wind_speed","T_air","rhone","T_surf_model","h_mix_model"
1994-01-08,4.27843721849173,6.67234044790466,5.47403726420244,1.19830318373997,66.5,43.8795927250405,31.6516830244985,38.1522194554068,25.3413492610655,0.776588192879373,3.79333333333333,4.96333333333333,120.2004,6.61672,114
1994-02-08,3.68998150817463,5.98029363709021,5.48906520432927,0.491945452015459,107,51.6068830431484,37.1222397919482,45.8296115902444,31.3343223011787,0.789858657604642,2.10322580645161,3.51935483870968,134.99035483871,5.79671612903226,169.3701422
1994-03-11,3.38894123343687,6.65773526115026,5.489999771,1.16788685512089,127.5,39.8021117059003,31.9196200617727,35.5181882973474,25.9980535295385,4.44792209906584,1.99032258064516,5.4,136.271806451613,5.66339032258065,164.6233874
1994-04-11,3.78450982747413,7.04181340973396,5.49938235452064,1.54310332846095,97,43.1914088784527,34.6621420234334,36.5576299004025,23.49911256429,4.83712354249626,3.05161290322581,8.60967741935484,140.917741935484,7.40038387096774,16
1994-05-11,3.26824093900756,12.8698212448049,5.51048614287496,7.35891141293945,11.5,44.0446524296709,22.7533976800214,38.1942106886707,7.68298590343824,8.17804855253213,1.94333333333333,11.52,160.144233333333,10.34832,16
1994-06-11,3.00764200000827,14.0722416703556,5.519999981,8.55224168787623,10.5,43.8230116331735,21.5643264233661,37.8391003184314,10.4159166539138,5.25621607983853,2.21290322580645,15.1548387096774,296.981806451613,15.5168387096774,13
1994-07-12,3.03532121376441,23.2787869555049,5.519999981,17.7592322548677,10,43.8539369231487,14.2667492460752,39.1588966236178,4.70470213597588,6.82737519047456,2.1,20.8677419354839,366.413290322581,18.2772903225806,16
1994-08-12,2.59983442372093,22.2628388002348,5.53000021,16.7324351402645,13.5,40.5613748168733,12.3251705043008,36.3576303779893,2.90442725124462,3.34257888328088,1.67096774193548,22.7129032258064,371.953419354839,23.5833870967742,13
1994-09-11,2.89324909516067,18.507061362,5.531960127048,12.9743812485606,11,42.1384647703371,12.0029408027714,34.4623567704007,2.92149847586286,2.65393642857143,2.09666666666667,19.0966666666667,295.2078,21.4558666666667,14
1994-10-12,2.59127217080842,13.4683612667978,5.56830904763778,7.90005222418452,16.5,40.6164661111807,10.5363560928689,35.4154168799119,4.72033450502126,4.33279352769679,1.90967741935484,12.6451612903226,246.384806451613,16.4383548387097,26
1994-11-12,3.3874295272473,12.0553941297153,5.55703227432154,6.49836185510097,26.5,40.6424425652127,10.501716694942,36.5586867826743,5.23338078872962,7.51977458419464,1.64516129032258,10.7806451612903,157.230741935484,12.4614193548387,31
1994-12-13,2.97506655384502,10.0143352527191,5.57950745847879,4.43482779416089,27.5,45.7584696885962,17.0307595624672,40.1149175425417,7.14038340003649,4.9200988353548,1.54193548387097,7.62258064516129,144.29464516129,10.0103193548387,40
1995-01-12,2.95547511182537,6.99888137224907,5.59737201628147,1.40598195514979,67,42.4643212699634,25.1513908407785,38.7223758950515,20.4399528637347,2.16515359635472,2.96,1.46333333333333,131.784233333333,7.69456,80
1995-02-12,2.69219229912715,6.7344024042841,5.61981796089867,1.11476234208515,109,42.2663359366624,27.9211716066993,39.149529218666,24.4726712957436,1.25976526845874,2.8741935483871,4.38387096774194,148.081451612903,6.17072903225806,136
1995-03-15,3.40800052936877,6.48826354291518,5.59711191004911,0.880694226478258,80.5,39.5811472352074,30.7135224992169,35.1500229466767,24.2982615396007,1.82138756495247,2.74838709677419,5.34193548387097,155.65364516129,6.05012258064516,142
1995-04-15,2.92232121102863,9.65245952927332,5.68187855788211,3.96689111526458,80.5,42.0179677351531,29.4110760947813,37.436314320337,18.8337432243622,14.1537468112245,3.50645161290323,8.06774193548387,143.326451612903,7.14195806451613,28
